score,feature
score_0,K11102
score_0,K11618
score_0,K02118
score_0,K12410
score_0,K18830
score_0,K01201
score_0,K00158
score_0,K03752
score_0,K00616
score_0,K22901
score_0,K01652
score_0,K03813
score_0,K02058
score_0,K11784
score_0,K01784
score_0,K17758
score_0,K05823
score_0,K02453
score_0,K11921
score_0,K19090
score_0,K06872
score_0,K03297
score_0,K03476
score_0,K10563
score_0,K10985
score_0,K03191
score_0,K10441
score_0,K17242
score_0,K00130
score_0,K19422
score_0,K08309
score_0,K22900
score_0,K17735
score_0,K02858
score_0,K21395
score_0,K02992
score_0,K01232
score_0,K13497
score_0,K19972
score_0,K17759
score_0,K01802
score_0,K14731
score_0,K05846
score_0,K02108
score_0,K01708
score_0,K00997
score_0,K15527
score_0,K22103
score_0,K04076
score_0,K02413
score_0,K01711
score_0,K02014
score_0,K03491
score_0,K02416
score_0,K04844
score_0,K15023
score_0,K01880
score_0,K21572
score_0,K03276
