score,feature
score_1,gamma-tocopherol/beta-tocopherol
score_1,uridine
score_1,phosphoethanolamine
score_1,N-delta-acetylornithine
score_1,"N,N-dimethylalanine"
score_1,pyridoxate
score_1,tridecenedioate (C13:1-DC)*
score_1,X-25420
score_1,X-13728
score_1,"bilirubin (E,E)*"
score_1,S-methylcysteine
score_1,gulonate*
score_1,3-methoxytyrosine
score_1,X-18921
score_1,1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
score_1,indolelactate
score_1,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
score_1,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
score_1,ascorbic acid 3-sulfate*
score_1,X-23644
score_1,N-acetylserine
score_1,X-24556
score_1,orotidine
score_1,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
score_1,succinoyltaurine
score_1,N-palmitoyl-sphinganine (d18:0/16:0)
score_1,succinate
score_1,octadecenedioylcarnitine (C18:1-DC)*
score_1,X-17010
score_1,ethylmalonate
score_1,2-aminophenol sulfate
score_1,isoursodeoxycholate
score_1,X-25422
score_1,"2,6-dihydroxybenzoic acid"
score_1,glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
score_1,"bilirubin (E,Z or Z,E)*"
score_1,gluconate
score_1,xanthine
score_1,carotene diol (1)
score_1,butyrylcarnitine (C4)
score_1,N-acetylarginine
score_1,caprate (10:0)
score_1,N-acetylhistidine
score_1,sarcosine
score_1,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
score_1,hyocholate
score_1,lithocholate sulfate (1)
score_1,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
score_1,N-oleoylserine
score_1,citrulline
score_1,X-23739
score_1,O-sulfo-tyrosine
score_1,N-methylpipecolate
score_1,3-hydroxybutyroylglycine**
score_1,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
score_1,dihomo-linoleoylcarnitine (C20:2)*
score_1,allantoin
score_1,cholate
score_1,N-acetyl-beta-alanine
score_1,3-methylglutaconate
score_1,X-21353
score_1,urea
score_1,4-hydroxychlorothalonil
score_1,X-24801
score_1,3-hydroxyoctanoate
score_1,methionine sulfoxide
score_1,3-hydroxydecanoate
score_1,X-11478
score_1,docosadioate (C22-DC)
score_1,margaroylcarnitine (C17)*
score_1,glutamine conjugate of C7H12O2*
score_1,X-14056
score_1,X-11444
score_1,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
score_1,linolenoylcarnitine (C18:3)*
score_1,X-24748
score_1,pipecolate
score_1,9-hydroxystearate
score_1,behenoylcarnitine (C22)*
score_1,3-hydroxyhippurate
score_1,"androstenediol (3beta,17beta) disulfate (2)"
score_1,X-16576
score_1,3-(4-hydroxyphenyl)lactate
score_1,dimethylarginine (SDMA + ADMA)
score_1,isobutyrylcarnitine (C4)
score_1,cerotoylcarnitine (C26)*
score_1,"cys-gly, oxidized"
score_1,X-11381
score_1,5-methyluridine (ribothymidine)
score_1,glutarate (C5-DC)
score_1,lignoceroylcarnitine (C24)*
